Weight_birth,Weight_day_14,Weight_at_day_26,pH_jejunum,pH_ileum,pH_caecum,pH_colon,CTL_perc_MLN_d27,CTL_ki67_MLN_d27,MemoryT_perc_MLN_d27,MemoryT_perc_CD4highCD8low_MLN_d27,MemoryT_Ki67_CD4highCD8low_MLN_d27,MemoryT_perc_CD4lowCD8high_MLN_d27,MemoryT_Ki67_CD4lowCD8high_MLN_d27,HelperT_perc_MLN_d27,HelperT_Ki67_MLN_d27,Tregs_perc_MLN_d27,Gammadelta_perc_MLN_d27,Gammadelta_Ki67_MLN_d27,cdc1_perc_MLN_d27,cdc1_8086_MLN_d27,cdc2_perc_MLN_d27,cdc2_8086_MLN_d27,pdc_perc_MLN_d27,pdc_8086_MLN_d27,mln_restimulation_il10_ConA_5_d27,mln_restimulation_il10_lps_10_d27,mln_restimulation_il10_medium_d27,mln_restimulation_TNF_ConA_5_d27,mln_restimulation_TNF_LPS_10_d27,mln_restimulation_TNF_medium_d27,Lactobacillus,Streptococcus,Clostridium_sensu_stricto_1,Romboutsia,Terrisporobacter,Turicibacter,Veillonella,Actinobacillus,Haemophilus
1.28,4.38,7.9,6.06,7.11,6.18,6.51,21.3,26.4,5.81,43.1,45.5,55.1,36.8,68.1,18.3,7.26,1.13,25.4,0.41,62.9,0.56,205,2.77,127,2230.711,21.7105,5.2185,76.573,8.974,7.5985,0.439606222,0.004990015,0.08947352,0.163017577,0.024718041,0.254482931,0,0,0.01336667
1.68,5.9,10,7.1,8.4,6.32,6.95,19.5,21.4,7.3,73.4,28.8,24.5,24.8,65.3,22.1,10.8,0.81,17.8,0.17,78.4,0.27,187,2.33,65.5,777.3465,13.7935,2.31525,17.4125,4.263,2.45,0.561638247,0.073144223,0.045905976,0.129096414,0.076060558,0.079566534,0.008956175,0.001144223,0.007180876
2.13,4.67,7.8,7.05,8.03,6.08,7.31,15.7,20.2,5.77,54.5,37,43.5,24,72.3,13.8,7.82,0.74,16.1,0.085,75.8,0.21,202,10.8,160,458.0275,5.796,0.1995,20.4855,3.6855,1.91975,0.448985749,0.105183643,0.067192984,0.123718368,0.085762254,0.05941798,0.005020589,0.015246009,0.037062541
1.85,5.73,,6.84,8.14,6.43,5.94,17.9,28.1,2.4,76,51.9,21.5,28.3,73.9,13.6,5.74,1.51,23.5,0.86,57.8,1.59,116,4.83,142,189.4585,9.9365,2.275,18.8195,2.317,1.484,0.759155898,0.020607325,0.025076032,0.123323506,0.051521225,0.016179401,0,0.00184691,0
1.23,4.25,7.8,,,6.1,6.86,17.9,29.2,4.32,52,35.4,43.3,49.8,69.7,13.6,5.88,1.06,17.3,0.3,103,0.11,174,6.09,144,84.3885,12.3235,2.12975,7.798,0.9835,1.344,0.245316443,0.065894422,0.258712723,0.226620406,0.080345366,0.066405596,0.007271007,0.010246979,0.026628045
2.07,6.12,9.6,7.66,8.71,6.52,5.79,24.6,29.3,2.91,55.2,39.6,41.1,41.9,66.1,23.4,10.1,1.33,25.2,0.15,80.9,0.25,209,2.53,130,691.9395,30.1875,9.793,21.8295,3.8605,3.4405,0.520983994,0.039087397,0.110268197,0.181110578,0.031247356,0.081655675,0.001180438,0,0.007578169
1.68,5.07,8.96,7.32,7.64,6.39,6.73,19.7,16.1,3.63,46.7,35,51,23.8,68.3,14.4,14.5,1.31,12.1,0.22,51.4,0.3,146,5.56,139,1375.1955,0,0.01925,15.1655,5.684,5.852,0.394435823,0.046535929,0.229881586,0.087166776,0.111991724,0.100893226,0,0.002131523,0.010914507
1.04,4,7.1,7.31,7.55,6.59,6.73,23.1,28.5,4.63,75.4,69.8,23,50.6,65.1,17.9,6.12,1.51,22,0.38,33.4,0.43,146,4.62,138,900.6445,0.7035,2.70725,56.3815,6.09,6.6885,0.70180162,0.021482578,0.033351282,0.11896749,0.036324067,0.072603262,0.003090575,0,0.005939961
1.23,3.8,7.53,,7.62,7.01,6.75,,,,,,,,,,,,,0.54,33.4,0.63,229,1.49,121,,,,4.2385,1.4805,1.68,0.883432091,0.002250175,0.018416141,0.026291755,0.021416375,0.003803238,0.022131137,0,0.010889084
1.24,4.33,8.3,7.39,7.07,6.16,6.51,16.2,24.1,1.07,73.6,41.1,23.8,46.8,73.9,22.7,12,1.78,27,0.41,25.7,0.85,158,2.92,133,1289.407,16.2365,17.21475,45.7835,12.187,13.10575,0.906578814,0.009154508,0.019179259,0.02167697,0.030402007,0.008250359,0,0,0.004758084
1.22,2.79,5.03,7.46,7.83,6.67,7.73,24.6,45.2,1.36,58.8,67.2,36.9,55.8,65.1,31,5.38,1.34,33.2,0.71,43.6,0.7,185,6.3,133,900.2455,0,3.514,174.4085,8.904,7.13475,0.59645,0.140209524,0.132991696,0.040153901,0.032080334,0.031030408,0,0.006079037,0.003808038
1.75,6.1,9.4,7.39,7.3,6.17,6.88,22.1,36.7,1.84,26.2,45.2,71.3,43.8,66.1,33.2,8.92,2.09,44.8,0.32,64.2,0.85,199,8.94,142,920.5735,20.531,3.43875,88.0075,18.914,7.02625,0.367884168,0.020532596,0.238271246,0.097235157,0.122118743,0.147642608,0,0,0
1.7,5.15,9.66,7.49,7.24,6.34,6.33,26.4,24,2.22,61.5,40.6,37.7,47.4,60.9,19.3,7.36,2.01,18.4,0.35,69.4,0.6,199,3.75,198,991.466,15.8725,10.07475,49.819,6.3385,3.55075,0.138317112,0.219762546,0.285621592,0.109684545,0.183378201,0.051328778,0,0.001366743,0.00818665
1.47,5,8.85,6.5,8.28,6.64,6.96,13.4,25.2,2.58,53.6,37,42.7,36.2,72.8,17.9,8.24,2.73,18.9,0.2,28.2,0.52,182,4.71,121,626.3845,8.4735,6.19675,28.231,6.034,4.1055,0.838950893,0.008254729,0.038883294,0.026945471,0.013969274,0.012282786,0.002055842,0,0.057469502
1.65,5.29,9.4,,,6.43,6.43,18.1,33.1,2.91,90.5,50,9.52,50,68.9,29.8,8.53,4.14,25.1,0.46,69.4,0.32,190,2.03,215,533.659,16.8,14.2135,20.951,3.381,6.6605,0.898432132,0.024468144,0,0.005935985,0.007062523,0,0.052142587,0.001126537,0.006678757
