"","Lactobacillus","Streptococcus","Clostridium_sensu_stricto_1","Romboutsia","Terrisporobacter","Turicibacter","Veillonella","Actinobacillus","Haemophilus"
"m1378",0.898432132312435,0.0244681443700985,0,0.00593598544167074,0.00706252282476154,0,0.0521425874459169,0.0011265373830908,0.00667875734260973
"m1368",0.883432091030624,0.00225017538131648,0.0184161412580686,0.0262917550926763,0.021416375099824,0.00380323760528394,0.0221311366915363,0,0.0108890840021355
"m1356",0.245316443052589,0.0658944220357058,0.258712723234614,0.226620406412588,0.080345365503991,0.0664055958847567,0.00727100733563851,0.0102469792269524,0.0266280446425162
"m1375",0.838950893246036,0.00825472930829619,0.03888329436525,0.0269454713976591,0.0139692738695481,0.0122827863283006,0.00205584225069428,0,0.0574695021028827
"m1365",0.394435823465495,0.0465359286530097,0.229881585936117,0.0871667760200238,0.111991723860208,0.100893225993467,0,0.00213152258060037,0.0109145065039211
"m1370",0.596450000164565,0.140209524373747,0.132991696041549,0.0401539013464722,0.0320803341331201,0.0310304083520115,0,0.00607903735958477,0.00380803802113675
"m1358",0.520983993586154,0.0390873967116952,0.110268197072675,0.181110578414507,0.0312473561014129,0.0816556747632074,0.00118043776917406,0,0.00757816875022662
"m1350",0.448985748896852,0.10518364301309,0.0671929840722965,0.123718367986145,0.0857622543826518,0.0594179801571583,0.0050205890210312,0.0152460088620305,0.0370625408786491
"m1347",0.439606221615055,0.00499001475626098,0.0894735195507422,0.163017577157517,0.024718040702252,0.254482931229567,0,0,0.013366669621395
"m1349",0.561638247011952,0.0731442231075697,0.0459059760956175,0.129096414342629,0.0760605577689243,0.0795665338645418,0.00895617529880478,0.00114422310756972,0.0071808764940239
"m1366",0.701801619887371,0.0214825783581252,0.0333512822238675,0.11896749007202,0.0363240672185951,0.0726032622108546,0.00309057458885823,0,0.00593996096116309
"m1353",0.759155897878092,0.0206073247183025,0.0250760321141006,0.123323506449621,0.0515212249035761,0.0161794008319836,0,0.00184691035784616,0
"m1369",0.906578813530588,0.009154507747426,0.0191792588239283,0.0216769701969914,0.0304020072105876,0.00825035883409998,0,0,0.00475808365637821
"m1371",0.367884167636787,0.0205325960419092,0.238271245634459,0.0972351571594878,0.122118742724098,0.147642607683353,0,0,0
"m1373",0.138317111893422,0.219762545730655,0.285621591771933,0.109684544764271,0.183378201145855,0.0513287775246773,0,0.00136674259681093,0.00818665010008974
